=== Simulacion de particulas ===

tiempo,x0,y0,x1,y1,x2,y2,x3,y3
13.5,152.464,14,492.8,248.1,177,79.75,696,276.8
13.55,155.152,18,489.2,244.8,174,81.5,693.5,280.4
13.6,157.84,22,485.6,241.5,171,83.25,691,284
13.65,160.528,26,482,238.2,168,85,688.5,287.6
13.7,163.216,30,478.4,234.9,165,86.75,686,291.2
13.75,165.904,34,474.8,231.6,162,88.5,683.5,294.8
13.8,168.592,38,471.2,228.3,159,90.25,681,298.4
13.85,171.28,42,467.6,225,156,92,678.5,302
13.9,173.968,46,464,221.7,153,93.75,676,305.6
13.95,176.656,50,460.4,218.4,150,95.5,673.5,309.2
14,179.344,54,456.8,215.1,147,97.25,671,312.8
14.05,182.032,58,453.2,211.8,144,99,668.5,316.4
14.1,184.72,62,449.6,208.5,141,100.75,666,320
14.15,187.408,66,446,205.2,138,102.5,663.5,323.6
14.2,190.096,70,442.4,201.9,135,104.25,661,327.2
14.25,192.784,74,438.8,198.6,132,106,658.5,330.8
14.3,195.472,78,435.2,195.3,129,107.75,656,334.4
14.35,198.16,82,431.6,192,126,109.5,653.5,338
14.4,200.848,86,428,188.7,123,111.25,651,341.6
14.45,203.536,90,424.4,185.4,120,113,648.5,345.2
14.5,206.224,94,420.8,182.1,117,114.75,646,348.8
14.55,208.912,98,417.2,178.8,114,116.5,643.5,352.4
14.6,211.6,102,413.6,175.5,111,118.25,641,356
14.65,214.288,106,410,172.2,108,120,638.5,359.6
14.7,216.976,110,406.4,168.9,105,121.75,636,363.2
14.75,219.664,114,402.8,165.6,102,123.5,633.5,366.8
14.8,222.352,118,399.2,162.3,99,125.25,631,370.4
14.85,225.04,122,395.6,159,96,127,628.5,374
14.9,227.728,126,392,155.7,93,128.75,626,377.6
14.95,230.416,130,388.4,152.4,90,130.5,623.5,381.2
15,233.104,134,384.8,149.1,87,132.25,621,384.8
15.05,235.792,138,381.2,145.8,84,134,618.5,388.4
15.1,238.48,140,377.6,142.5,81,135.75,616,392
15.15,241.168,137.2,374,139.2,78,137.5,613.5,395.6
15.2,243.856,134.4,370.4,135.9,75,139.25,611,399.2
15.25,246.544,131.6,366.8,132.6,72,141,608.5,402.8
15.3,249.232,128.8,363.2,129.3,69,142.75,606,406.4
15.35,251.92,126,359.6,126,66,144.5,603.5,410
15.4,254.608,123.2,356,122.7,63,146.25,601,413.6
15.45,257.296,120.4,352.4,119.4,60,148,598.5,417.2
15.5,259.984,117.6,348.8,116.1,57,149.75,596,420.8
15.55,262.672,114.8,345.2,112.8,54,151.5,593.5,424.4
15.6,265.36,112,341.6,109.5,51,153.25,591,428
15.65,268.048,109.2,338,106.2,48,155,588.5,431.6
15.7,270.736,106.4,334.4,102.9,45,156.75,586,435.2
15.75,273.424,103.6,330.8,99.6,42,158.5,583.5,438.8
15.8,276.112,100.8,327.2,96.3,39,160.25,581,442.4
15.85,278.8,98,323.6,93,36,162,578.5,446
15.9,281.488,95.2,320,89.7,33,163.75,576,449.6
15.95,284.176,92.4,316.4,86.4,30,165.5,573.5,453.2
16,286.864,89.6,312.8,83.1,27,167.25,571,456.8
>>> Colision entre particula 0 y particula 1 en t=16
16.05,301.341,82.6,-1,-1,24,169,568.5,460.4
16.1,300.256,79.5,-1,-1,21,170.75,566,464
16.15,299.171,76.4,-1,-1,18,172.5,563.5,467.6
16.2,298.086,73.3,-1,-1,15,174.25,561,471.2
16.25,297.002,70.2,-1,-1,12,176,558.5,474.8
16.3,295.917,67.1,-1,-1,9,177.75,556,478.4
16.35,294.832,64,-1,-1,8,179.5,553.5,482
16.4,293.747,60.9,-1,-1,11,181.25,551,485.6
16.45,292.662,57.8,-1,-1,14,183,548.5,489.2
16.5,291.578,54.7,-1,-1,17,184.75,546,492.8
16.55,290.493,51.6,-1,-1,20,186.5,543.5,496.4
16.6,289.408,48.5,-1,-1,23,188.25,541,500
16.65,288.323,45.4,-1,-1,26,190,538.5,503.6
16.7,287.238,42.3,-1,-1,29,191.75,536,507.2
16.75,286.154,39.2,-1,-1,32,193.5,533.5,510.8
16.8,285.069,36.1,-1,-1,35,195.25,531,514.4
16.85,283.984,33,-1,-1,38,197,528.5,518
16.9,282.899,29.9,-1,-1,41,198.75,526,521.6
16.95,281.814,26.8,-1,-1,44,200.5,523.5,525.2
17,280.73,23.7,-1,-1,47,202.25,521,528.8
17.05,279.645,20.6,-1,-1,50,204,518.5,532.4
17.1,278.56,17.5,-1,-1,53,205.75,516,536
17.15,277.475,15.6205,-1,-1,56,207.5,513.5,539.6
17.2,276.39,18.7205,-1,-1,59,209.25,511,543.2
17.25,275.306,21.8205,-1,-1,62,211,508.5,546.8
17.3,274.221,24.9205,-1,-1,65,212.75,506,550.4
17.35,273.136,28.0205,-1,-1,68,214.5,503.5,554
17.4,272.051,31.1205,-1,-1,71,216.25,501,557.6
17.45,270.966,34.2205,-1,-1,74,218,498.5,561.2
17.5,269.882,37.3205,-1,-1,77,219.75,496,564.8
17.55,268.797,40.4205,-1,-1,80,221.5,493.5,568.4
17.6,267.712,43.5205,-1,-1,83,223.25,491,572
17.65,266.627,46.6205,-1,-1,86,225,488.5,575.6
17.7,265.542,49.7205,-1,-1,89,226.75,486,579.2
17.75,264.458,52.8205,-1,-1,92,228.5,483.5,582.8
17.8,263.373,55.9205,-1,-1,95,230.25,481,586
17.85,262.288,59.0205,-1,-1,98,232,478.5,582.4
17.9,261.203,62.1205,-1,-1,101,233.75,476,578.8
17.95,260.118,65.2205,-1,-1,104,235.5,473.5,575.2
18,259.034,68.3205,-1,-1,107,237.25,471,571.6
18.05,257.949,71.4205,-1,-1,110,239,468.5,568
18.1,256.864,74.5205,-1,-1,113,240.75,466,564.4
18.15,255.779,77.6205,-1,-1,116,242.5,463.5,560.8
18.2,254.694,80.7205,-1,-1,119,244.25,461,557.2
18.25,253.61,83.8205,-1,-1,122,246,458.5,553.6
18.3,252.525,86.9205,-1,-1,125,247.75,456,550
18.35,251.44,90.0205,-1,-1,128,249.5,453.5,546.4
18.4,250.355,93.1205,-1,-1,131,251.25,451,542.8
18.45,249.27,96.2205,-1,-1,134,253,448.5,539.2
18.5,248.186,99.3205,-1,-1,137,254.75,446,535.6
18.55,247.101,102.42,-1,-1,140,256.5,443.5,532
18.6,246.016,105.52,-1,-1,143,258.25,441,528.4
18.65,244.931,108.62,-1,-1,146,260,438.5,524.8
18.7,243.846,111.72,-1,-1,149,261.75,436,521.2
18.75,242.762,114.82,-1,-1,152,263.5,433.5,517.6
18.8,241.677,117.92,-1,-1,155,265.25,431,514
18.85,240.592,121.02,-1,-1,158,267,428.5,510.4
18.9,239.507,124.12,-1,-1,161,268.75,426,506.8
18.95,238.422,127.22,-1,-1,164,270.5,423.5,503.2
19,237.338,130.32,-1,-1,167,272.25,421,499.6
19.05,236.253,133.42,-1,-1,170,274,418.5,496
19.1,235.168,134.38,-1,-1,173,275.75,416,492.4
19.15,234.083,132.21,-1,-1,176,277.5,413.5,488.8
19.2,232.998,130.04,-1,-1,179,279.25,411,485.2
19.25,231.914,127.87,-1,-1,182,281,408.5,481.6
19.3,230.829,125.7,-1,-1,185,282.75,406,478
19.35,229.744,123.53,-1,-1,188,284.5,403.5,474.4
19.4,228.659,121.36,-1,-1,191,286.25,401,470.8
19.45,227.574,119.19,-1,-1,194,288,398.5,467.2
19.5,226.49,117.02,-1,-1,197,289.75,396,463.6
19.55,225.405,114.85,-1,-1,200,291.5,393.5,460
19.6,224.32,112.68,-1,-1,203,293.25,391,456.4
19.65,223.235,110.51,-1,-1,206,295,388.5,452.8
19.7,222.15,108.34,-1,-1,209,296.75,386,449.2
19.75,221.066,106.17,-1,-1,212,298.5,383.5,445.6
19.8,219.981,104,-1,-1,215,300.25,381,442
19.85,218.896,101.83,-1,-1,218,302,378.5,438.4
19.9,217.811,99.6595,-1,-1,221,303.75,376,434.8
19.95,216.726,97.4895,-1,-1,224,305.5,373.5,431.2
20,215.642,95.3195,-1,-1,227,307.25,371,427.6
20.05,214.557,93.1495,-1,-1,230,309,368.5,424
20.1,213.472,90.9795,-1,-1,233,310.75,366,420.4
20.15,212.387,88.8095,-1,-1,236,312.5,363.5,416.8
20.2,211.302,86.6395,-1,-1,239,314.25,361,413.2
20.25,210.218,84.4695,-1,-1,242,316,358.5,409.6
20.3,209.133,82.2995,-1,-1,245,317.75,356,406
20.35,208.048,80.1295,-1,-1,248,319.5,353.5,402.4
20.4,206.963,77.9595,-1,-1,251,321.25,351,398.8
20.45,205.878,75.7895,-1,-1,254,323,348.5,395.2
20.5,204.794,73.6195,-1,-1,257,324.75,346,391.6
20.55,203.709,71.4495,-1,-1,260,326.5,343.5,388
20.6,202.624,69.2795,-1,-1,263,328.25,341,384.4
20.65,201.539,67.1095,-1,-1,266,330,338.5,380.8
20.7,200.454,64.9395,-1,-1,269,331.75,336,377.2
20.75,199.37,62.7695,-1,-1,272,333.5,333.5,373.6
20.8,198.285,60.5995,-1,-1,275,335.25,331,370
20.85,197.2,58.4295,-1,-1,278,337,328.5,366.4
20.9,196.115,56.2595,-1,-1,281,338.75,326,362.8
20.95,195.03,54.0895,-1,-1,284,340.5,323.5,359.2
21,193.946,51.9195,-1,-1,287,342.25,321,355.6
21.05,192.861,49.7495,-1,-1,290,344,318.5,352
21.1,191.776,47.5795,-1,-1,293,345.75,316,348.4
>>> Colision entre particula 2 y particula 3 en t=21.1
21.15,190.691,45.4095,-1,-1,308.5,345.571,-1,-1
21.2,189.606,43.2395,-1,-1,307.571,343.5,-1,-1
21.25,188.522,41.0695,-1,-1,306.643,341.429,-1,-1
21.3,187.437,38.8995,-1,-1,305.714,339.357,-1,-1
